Transaction_ID,Date,Category,Subcategory,Amount,Type,Payment_Method,Merchant,Location,Description,Monthly_Budget,Balance
36,2025-12-06,Travel,Tour,4777,Expense,UPI,"Greer, Hudson and Wilson",Burtonmouth,Local everybody wonder phone.,13655,15600
37,2025-07-12,Shopping,Clothes,2881,Expense,UPI,Smith LLC,Ashleyview,Hundred record meet.,22034,85026
38,2025-05-20,Transport,Bus,154,Expense,Cash,Kennedy Group,New Jefferyfurt,About population.,44197,37237
39,2025-07-09,Medical,Health Checkup,2854,Expense,UPI,"Le, English and Evans",Feliciamouth,Place improve.,34616,22099
40,2025-05-09,Shopping,Accessories,414,Expense,Credit Card,"Wade, Thomas and Middleton",West Sheila,Cultural easy behavior agreement.,41841,80385
41,2025-02-28,Travel,Hotel,359,Expense,UPI,Lee Inc,Mckeeland,Entire gas relate simply.,16630,96586
42,2025-05-17,Education,Books,4475,Expense,Credit Card,Michael-House,North Nathanchester,On arm hand for peace.,33144,47561
43,2025-06-30,Travel,Flight,3970,Expense,Debit Card,Moreno-Torres,Brittanyshire,Heavy another.,18477,7547
44,2025-03-14,Shopping,Accessories,3473,Expense,UPI,"Petty, Marquez and Hutchinson",Toddstad,Clearly necessary assume from.,34975,27172
45,2026-02-11,Travel,Hotel,622,Expense,Debit Card,"Lopez, Barron and Campos",West Jenniferport,Shoulder election.,18961,39648
46,2025-04-04,Entertainment,Games,1304,Expense,Bank Transfer,"Stewart, Andrews and Woods",Kathleenburgh,Central community condition than.,30829,86666
47,2026-05-02,Education,Courses,3651,Expense,Debit Card,"Simmons, Olson and Lewis",South Jake,Build firm just other theory.,48750,74991
48,2025-01-08,Food,Restaurant,3958,Expense,Cash,Stevens PLC,East Amy,Various him according.,26781,70040
49,2025-01-29,Bills,Electricity,4292,Expense,UPI,Ramirez-Hubbard,South Robertburgh,Write whether system hot miss.,49688,43807
50,2025-05-17,Food,Snacks,1133,Expense,UPI,Wall LLC,New Carrieburgh,Cold window change wish.,48535,48497
51,2025-09-26,Entertainment,Movies,4082,Expense,Cash,Reynolds-Harrison,New John,Represent old.,9485,12571
52,2025-12-26,Income,Freelancing,38093,Income,Cash,"Hunter, Simmons and Romero",West Ashley,Building admit there in.,33231,3924
53,2025-02-14,Food,Snacks,3608,Expense,Bank Transfer,Webb-Brown,Taylormouth,Attorney must up.,19531,23291
54,2025-04-21,Medical,Medicine,2214,Expense,UPI,Haley-Hardy,North Abigail,Game provide Democrat indeed.,46888,32486
55,2026-04-21,Food,Groceries,4019,Expense,UPI,Williams-Rosario,Victoriabury,Memory now old product.,29945,95490
56,2025-04-29,Education,Stationery,3442,Expense,UPI,Brady-Martinez,Sherriton,Finally top save.,24669,23032
57,2026-02-12,Shopping,Clothes,2990,Expense,Cash,Fisher Group,East Holly,Imagine deal challenge.,5182,40937
58,2025-09-24,Education,Courses,2066,Expense,UPI,"Graham, Mills and Larsen",East Angela,Property hot would.,30267,73021
59,2026-04-28,Travel,Flight,4300,Expense,Credit Card,Kidd Inc,East Carlos,Onto story bit entire.,34078,89797
60,2026-02-19,Transport,Bus,884,Expense,UPI,Henry-Shaw,West Victoriaview,Could leave purpose have.,26517,47716
61,2025-03-14,Income,Scholarship,8123,Income,Bank Transfer,Garza-Sherman,Port Michael,Pass happen always again.,36947,8914
62,2025-03-02,Shopping,Clothes,4549,Expense,Credit Card,Buck and Sons,Brownland,Space medical create.,36100,89578
63,2026-04-13,Medical,Doctor,525,Expense,Credit Card,Moreno Inc,New Bradleyview,Call offer this.,6451,38668
64,2025-07-02,Education,Stationery,2510,Expense,Credit Card,Garcia and Sons,Lake Daniel,Stuff space.,15405,38176
65,2025-10-07,Transport,Fuel,3538,Expense,Bank Transfer,Hill-Flynn,Stevetown,Though stuff.,47129,44732
66,2025-12-28,Entertainment,Streaming,3549,Expense,Credit Card,"Shields, Frederick and Smith",Kirkfort,Within forward book under.,13742,99819
67,2026-04-03,Bills,Internet,956,Expense,Cash,Mason-Velez,Jamesbury,Possible people course step.,49473,97271
68,2025-05-01,Food,Groceries,3111,Expense,Bank Transfer,Cruz PLC,Ericstad,Sense loss ever happy.,11312,7132
69,2025-01-30,Food,Groceries,110,Expense,Credit Card,Conley and Sons,Leahbury,Those subject.,46670,28568
70,2025-07-31,Shopping,Clothes,1075,Expense,Cash,Alvarez LLC,East Christopher,Explain message daughter price.,19308,52410
71,2025-10-13,Food,Snacks,2490,Expense,Bank Transfer,Soto-Mitchell,East Josephfort,Growth protect we term.,8456,1789
72,2025-06-20,Travel,Flight,4647,Expense,UPI,Simpson-Frye,Zacharyborough,Pattern deal peace quality.,19993,11559
73,2026-01-21,Education,Courses,534,Expense,UPI,Bush-Thompson,Kanefort,Bag teacher.,21970,13052
74,2025-05-04,Income,Freelancing,21115,Income,Credit Card,Taylor-Bradley,Rogersfurt,Although such head.,25592,27882
75,2026-01-01,Food,Restaurant,697,Expense,UPI,Lindsey Inc,Port Robin,Physical though thing book.,42533,86957
76,2026-03-28,Bills,Internet,1629,Expense,Debit Card,"Cunningham, Acosta and Gibson",Murrayview,Dream court free.,27863,54489
77,2026-04-04,Travel,Tour,2983,Expense,UPI,"Higgins, Henderson and Lane",South Jennaville,Mouth talk piece organization.,48522,48108
78,2025-06-30,Bills,Electricity,1356,Expense,UPI,Rice-Cummings,West Ryan,Marriage guy.,5254,13629
79,2025-05-19,Income,Scholarship,43562,Income,Debit Card,Santos and Sons,North Karenton,Trip this make go.,49232,7326
80,2025-08-28,Travel,Hotel,4460,Expense,Credit Card,Buchanan-Moore,Michaelmouth,Once answer church reduce difficult.,16476,3385
81,2025-10-14,Income,Scholarship,33729,Income,UPI,"Grant, Ruiz and Lee",Jasonchester,Budget store for always.,31490,5533
82,2025-04-15,Travel,Hotel,578,Expense,Bank Transfer,Dunn-Becker,North Johnchester,Past maintain measure medical public.,40494,96425
83,2025-03-02,Food,Groceries,3068,Expense,Bank Transfer,"Perez, Sullivan and West",West Marystad,Scientist around value truth.,35303,56301
84,2026-04-22,Entertainment,Movies,1172,Expense,Bank Transfer,Sanders-Jones,Lake Lisa,Account follow doctor role.,48603,5019
85,2026-02-15,Education,Courses,900,Expense,Cash,Wilson PLC,South Savannah,Resource goal.,36852,50832
86,2025-03-03,Food,Groceries,3276,Expense,Credit Card,Gomez and Sons,Lake Brianview,Indicate air bring participant.,5127,67613
87,2025-06-13,Bills,Water,3060,Expense,Bank Transfer,Smith Inc,Lake Territon,Wrong know he close move.,38409,17822
88,2025-04-12,Income,Salary,27674,Income,Debit Card,"Jones, Smith and Elliott",New Jonathanhaven,Able discuss rock today.,16947,46804
89,2025-12-30,Travel,Tour,1024,Expense,Debit Card,"Moore, Rojas and Higgins",Jacksonfort,Top art cost.,31278,20764
90,2026-04-02,Entertainment,Movies,4693,Expense,Bank Transfer,Franklin Ltd,New Ashley,Hold story pass.,12432,81965
91,2025-03-10,Travel,Flight,1355,Expense,Debit Card,Lewis LLC,Lake Brendaside,Yes rock.,7382,43858
92,2026-05-05,Travel,Tour,1901,Expense,Cash,"Patterson, Pham and Flores",Zamoraville,Industry voice since fire piece.,31249,59388
93,2026-01-04,Shopping,Electronics,4113,Expense,Bank Transfer,"Anderson, Walls and Hall",Port Donna,Whole soldier.,39119,96816
94,2025-12-31,Travel,Flight,726,Expense,Debit Card,"Lawrence, Pittman and Hernandez",Lake Melissabury,Detail rich everything.,22536,27607
95,2025-02-15,Income,Scholarship,17062,Income,UPI,Pineda-Richardson,Lopezmouth,Their center radio throw.,35867,18045
96,2025-04-15,Shopping,Electronics,1246,Expense,UPI,Duffy Group,West Christopher,Phone evening modern.,21510,94352
97,2025-09-29,Bills,Electricity,3686,Expense,Bank Transfer,Burton-Hamilton,West Jeremy,Building natural woman.,23535,20734
98,2025-01-04,Education,Courses,3280,Expense,Debit Card,Baxter-Huff,Port Sandraland,Cultural reduce plant information machine.,33643,29735
99,2025-08-04,Entertainment,Streaming,1153,Expense,Bank Transfer,Curry-Hunt,Walkerchester,Type painting.,20507,38950
100,2025-04-08,Travel,Flight,1449,Expense,Credit Card,Ball-White,Walkerbury,Keep little myself.,38268,54162
101,2025-06-29,Food,Restaurant,2255,Expense,Cash,Brown PLC,Steeleberg,Process partner value.,16920,77698
102,2026-04-13,Income,Scholarship,47865,Income,Credit Card,"Castro, Sullivan and Matthews",Cantuton,International hard.,30677,68779
103,2026-02-05,Entertainment,Games,1505,Expense,Debit Card,Jones-Gray,Shawnport,Direction day stock.,34122,89171
104,2025-12-07,Food,Restaurant,613,Expense,Bank Transfer,Williams Group,Port Vickimouth,Lay whether against.,41978,63692
105,2026-04-11,Transport,Bus,1457,Expense,Credit Card,Taylor Ltd,South Madison,Least think about.,25134,62532
106,2025-12-11,Income,Scholarship,36930,Income,Credit Card,"Reed, Ingram and Farrell",East Stephenside,Front opportunity whatever tree detail.,17539,37823
107,2026-01-29,Travel,Flight,2233,Expense,Cash,Parker-Gallagher,Michaelberg,Yourself which.,46498,44675
108,2025-09-11,Medical,Health Checkup,3237,Expense,Debit Card,"Jackson, Brown and Anderson",Ryanhaven,Black social.,11246,2689
109,2025-12-26,Transport,Bus,1333,Expense,Bank Transfer,Rogers-Carrillo,Lake Keith,Throughout either.,15797,74491
110,2025-02-20,Travel,Tour,337,Expense,Cash,Wright Inc,Rodriguezville,Finally operation material.,39765,61005
111,2025-05-30,Food,Restaurant,2946,Expense,Cash,"Ward, Wright and Lloyd",West Jacobburgh,Blue movement decision team.,23199,11785
112,2025-09-07,Food,Groceries,1814,Expense,Cash,Garcia and Sons,Reedfort,Effect again set somebody guy.,24866,64246
113,2025-12-06,Education,Books,1699,Expense,Bank Transfer,Calderon Ltd,Julieburgh,Less billion cover.,12219,90959
114,2025-03-28,Travel,Tour,3132,Expense,UPI,Flores-Jones,Brendamouth,Past leg party bag side.,40383,38181
115,2025-11-10,Transport,Taxi,3058,Expense,Credit Card,Kennedy Group,West Kelly,Out agree common.,43735,26143
116,2026-01-25,Food,Restaurant,3218,Expense,Credit Card,Berry-Reyes,West Janetmouth,Floor second scientist camera believe.,7051,92804
117,2025-05-04,Education,Courses,1725,Expense,Cash,"Larson, Sparks and Lara",East Christopherland,Very set common avoid institution.,41689,55018
118,2025-10-19,Travel,Tour,2096,Expense,Cash,Sanchez Ltd,Audreyhaven,Weight support.,14648,11586
119,2025-06-27,Medical,Medicine,4718,Expense,Debit Card,Moore Group,South Henrystad,Last inside option.,37344,60331
120,2025-04-13,Education,Books,902,Expense,Debit Card,"Crosby, Swanson and Watkins",Michaelchester,Miss professor.,33420,94524
121,2025-01-14,Medical,Doctor,1874,Expense,Bank Transfer,Sosa Group,Port Tiffany,Floor think ready.,31225,3341
122,2026-03-06,Entertainment,Streaming,2867,Expense,Credit Card,Randall PLC,West Hunter,Easy situation.,14408,49574
123,2025-09-19,Travel,Hotel,2844,Expense,UPI,Jackson PLC,Bryantview,See accept nothing news.,38173,20006
124,2026-01-21,Bills,Electricity,2805,Expense,Debit Card,Greene-Fowler,Staceyhaven,Form almost field many feel.,28063,80380
125,2025-08-20,Transport,Fuel,1098,Expense,Debit Card,Barajas-Davis,New Sara,Wish offer star understand.,9008,63686
126,2025-04-21,Transport,Taxi,125,Expense,Cash,Graham-Wilson,Alvarezborough,Throw reach south point.,8369,51418
127,2025-08-20,Income,Freelancing,37208,Income,Bank Transfer,Jensen and Sons,Port Jasmine,Property himself better.,29216,38538
128,2025-09-27,Education,Books,2278,Expense,Debit Card,Fletcher-Deleon,West Robertshire,Just become until guess.,9188,54033
129,2025-07-29,Travel,Flight,4458,Expense,Cash,Barrett Inc,Marctown,Before late leader born.,30637,93766
130,2025-05-14,Education,Courses,2715,Expense,Credit Card,Lawson Group,Louisfort,Field dog race interesting.,43852,6047
131,2026-01-11,Shopping,Accessories,3435,Expense,Cash,"Barnes, Kelly and Boyd",Lindsaychester,Mother travel keep.,9971,13314
132,2026-01-28,Food,Restaurant,3708,Expense,Debit Card,"Martinez, Johnson and Rogers",Stephanieshire,Act realize own worker.,12912,71640
133,2025-10-12,Education,Stationery,665,Expense,UPI,Mcfarland PLC,North Paul,Age receive middle organization.,10004,69569
134,2026-01-04,Bills,Water,4303,Expense,Debit Card,Lozano LLC,Port Johnfurt,Something about great officer.,18294,92248
135,2025-07-28,Entertainment,Games,3317,Expense,Bank Transfer,"Mason, Steele and Williams",Woodmouth,Receive whom student.,36745,15624
136,2026-01-11,Transport,Fuel,1876,Expense,Credit Card,White PLC,Sarahberg,Interview early stand.,39679,18410
137,2025-03-14,Entertainment,Streaming,201,Expense,Debit Card,"Barber, Foster and Jones",Wheelerbury,May happy any skill.,45828,63174
138,2025-07-02,Bills,Water,1646,Expense,Cash,Stewart-Fox,Lake Ashleyside,Statement improve practice impact personal.,23538,67182
139,2025-03-06,Transport,Taxi,3866,Expense,Bank Transfer,"Bennett, Leonard and Jones",Sharonberg,Outside mention participant its cause.,11786,65793
140,2025-05-13,Income,Salary,29863,Income,Cash,Mcconnell Group,East Tamaramouth,Yard position dog material wrong.,38269,96452
141,2025-12-25,Food,Snacks,1676,Expense,Credit Card,Hall-Palmer,Heidiborough,To everyone.,44358,43074
142,2025-12-02,Bills,Internet,2278,Expense,Bank Transfer,Grant-Smith,Christophermouth,Reflect something.,6749,42870
143,2026-02-23,Transport,Taxi,4238,Expense,Bank Transfer,Jones and Sons,North Faithstad,Probably anyone impact.,15157,27366
144,2025-01-25,Travel,Flight,1056,Expense,Cash,"Brown, Williams and Mullen",Timothyland,Difficult range action.,41654,71396
145,2026-01-13,Transport,Bus,3746,Expense,Debit Card,Gomez-Bennett,Allentown,Third often former free.,36997,27583
146,2025-08-29,Income,Freelancing,36967,Income,Cash,"Booker, Jones and Murphy",Welchborough,National really.,28015,32045
147,2025-09-03,Transport,Fuel,3084,Expense,UPI,Harrington and Sons,South Garyport,Staff customer list.,36712,92172
148,2026-03-11,Entertainment,Movies,610,Expense,Bank Transfer,Allen and Sons,Port Joshuabury,Tonight require side ground top.,11295,55425
149,2026-01-21,Income,Freelancing,23842,Income,Cash,"Day, Church and Collins",Lawrenceland,Break five season various.,27862,48922
150,2026-02-07,Shopping,Electronics,2294,Expense,UPI,Wood Ltd,Chapmanport,No impact serve source.,40160,40292
151,2025-12-12,Shopping,Accessories,3294,Expense,Debit Card,Bolton-Campbell,Copelandtown,How only say technology.,17708,10677
152,2025-11-15,Entertainment,Streaming,3712,Expense,Credit Card,Bond-Cooke,East Brendamouth,Wear maybe heart begin technology.,33952,19908
153,2025-06-18,Education,Books,980,Expense,Bank Transfer,Bowen Ltd,New Anthonyshire,Hit maintain.,41463,82423
154,2026-02-26,Entertainment,Games,4936,Expense,Bank Transfer,Murray-Fitzgerald,Port Russell,Week will fly person land.,35062,19864
155,2026-05-02,Entertainment,Streaming,1918,Expense,Cash,"Potter, Bush and Ramsey",Gardnerville,Turn detail.,6864,63502
156,2025-01-27,Travel,Flight,4117,Expense,UPI,Huang Ltd,Johnbury,Prepare some.,18430,8681
157,2026-04-28,Bills,Water,4944,Expense,UPI,Anderson-Morgan,Port Eric,Policy company feeling.,38265,15530
158,2025-09-14,Bills,Electricity,2170,Expense,Cash,Rogers Group,Michelechester,Skin practice stay spend anything.,22503,17732
159,2025-04-19,Bills,Internet,3286,Expense,UPI,"Maxwell, Wilson and Brooks",Port Samanthamouth,Vote however culture media meeting.,26296,10703
160,2026-01-27,Education,Books,2819,Expense,Bank Transfer,"Sanchez, Reynolds and Miller",South Sarahfurt,Effect this available.,5073,73354
161,2026-03-01,Bills,Electricity,2329,Expense,UPI,"Roberts, Anderson and Kelly",Cherylside,Many former activity.,29582,46961
162,2025-05-22,Education,Stationery,1171,Expense,UPI,Ferguson Inc,Susanshire,Spend chair pick send someone.,8308,50271
163,2026-03-05,Entertainment,Movies,3647,Expense,Debit Card,Morse LLC,Hollyside,Machine work miss heavy.,33281,76842
164,2025-10-02,Travel,Tour,2025,Expense,Cash,Brandt-Rojas,Parkershire,Police million customer hold.,37618,91488
165,2026-04-22,Travel,Hotel,3028,Expense,Bank Transfer,"Baker, Murphy and Stuart",Howardhaven,Around modern.,38717,11730
166,2025-05-20,Bills,Electricity,310,Expense,Bank Transfer,Coleman Group,Mariabury,Site season.,49420,93170
167,2025-09-03,Travel,Hotel,318,Expense,Credit Card,Collins PLC,South Sierra,Nice training camera inside.,35144,9388
168,2026-03-13,Entertainment,Streaming,2472,Expense,Bank Transfer,"Boyd, Barnes and Webster",Caitlinbury,Including hit teach.,47737,76315
169,2026-01-29,Travel,Flight,3653,Expense,Credit Card,"Thomas, Ramirez and Fitzpatrick",South Juan,Born something protect reach race.,10315,11930
170,2025-05-15,Travel,Flight,4489,Expense,UPI,Crawford PLC,North Emily,Who sell here oil nation.,32461,50132
171,2026-04-25,Transport,Fuel,699,Expense,Cash,Galvan Inc,Shannonburgh,Decade generation yet number.,18595,88608
172,2025-06-25,Bills,Electricity,3028,Expense,Bank Transfer,Johns Group,Sarahbury,No economy sort five.,11940,3583
173,2025-02-22,Food,Snacks,2232,Expense,Bank Transfer,"Rogers, Gibson and Reid",Dennismouth,Future real evening term one.,13012,99427
174,2025-02-17,Education,Courses,3141,Expense,Debit Card,Owens LLC,Angelamouth,Someone respond sea bag.,9919,52456
175,2025-02-28,Food,Restaurant,1379,Expense,UPI,"Lane, Fischer and Pope",Alvaradoville,Fast child.,6562,99490
176,2025-08-25,Transport,Fuel,2490,Expense,Bank Transfer,Rodriguez Ltd,Shawnberg,Imagine option measure government.,17312,99220
177,2025-07-01,Transport,Bus,4057,Expense,Cash,Barnes-Young,Gomezberg,Training first help.,34070,51868
178,2025-08-16,Income,Freelancing,15062,Income,Credit Card,Villanueva-Smith,West Blake,Policy table guess call.,23123,7985
179,2025-03-24,Bills,Electricity,3100,Expense,Credit Card,"Leach, Mueller and Martinez",Port Michaelport,Tonight true this use according.,13809,38305
180,2025-08-30,Medical,Doctor,1586,Expense,Bank Transfer,Walker Inc,Cochranhaven,Course job culture concern.,32495,73054
181,2025-01-26,Medical,Doctor,79,Expense,UPI,Dunn-Davis,Port Karen,Message class back bit.,24792,23932
182,2026-02-06,Bills,Electricity,2847,Expense,Debit Card,Young LLC,East Davidport,Her discover television.,28510,53517
183,2025-04-23,Medical,Medicine,2621,Expense,Cash,"Smith, Cook and Koch",Tamaratown,Action gas opportunity before read.,28713,44434
184,2025-09-26,Entertainment,Streaming,4886,Expense,Bank Transfer,Cox PLC,Brandonberg,Itself instead say.,44051,39464
185,2025-10-05,Entertainment,Streaming,1507,Expense,UPI,"Adams, Mckinney and Stevenson",Michaelton,Visit that can.,6349,57943
186,2025-04-21,Travel,Flight,366,Expense,Bank Transfer,Chavez-Ortega,Danamouth,How dog sit.,46172,65868
187,2025-10-17,Travel,Tour,3054,Expense,Bank Transfer,Mcguire Ltd,Lisaland,Commercial safe loss arm.,38653,32316
188,2025-04-18,Bills,Internet,1364,Expense,Bank Transfer,"Mcdowell, Smith and Mitchell",Fryeport,Appear material fall.,33958,75837
189,2026-05-08,Shopping,Electronics,4255,Expense,Cash,Joseph PLC,West Rachel,Recognize account pull meet.,49168,86347
190,2025-03-16,Travel,Flight,3601,Expense,Cash,Robinson Ltd,Port Lisafort,Likely son today.,30116,49724
191,2026-04-15,Food,Snacks,3111,Expense,Cash,Anthony PLC,Stacyfurt,Executive find.,26220,80202
192,2025-07-03,Food,Restaurant,2511,Expense,Bank Transfer,Gray-Cox,North Lisashire,Contain article customer.,28695,24681
193,2025-07-18,Food,Snacks,2528,Expense,Bank Transfer,"Reed, Wolf and Mcdaniel",Rebeccaburgh,Word view try new.,39895,57579
194,2026-05-08,Income,Scholarship,13456,Income,UPI,Garcia Group,South Rhonda,Popular both player production discover.,10820,86149
195,2025-04-08,Income,Scholarship,10601,Income,Bank Transfer,"Fischer, Martin and Gonzalez",Marcushaven,Natural dream bad society law.,21608,63118
196,2025-10-01,Income,Salary,21200,Income,Credit Card,Wolfe-Walker,Carlaport,Huge score structure.,44444,9663
197,2025-08-19,Income,Salary,22871,Income,UPI,King LLC,Port Erika,Professional rise the.,24916,99824
198,2025-06-25,Medical,Doctor,4557,Expense,Debit Card,Bryant LLC,Codyton,Hit he.,46817,46973
199,2025-06-05,Entertainment,Games,3052,Expense,Bank Transfer,Parsons Group,Lake Maurice,Affect address item.,21859,48816
200,2025-01-01,Food,Snacks,4462,Expense,Cash,"Jones, Patterson and Burns",Stevenhaven,Church toward guess.,38039,11504
201,2025-06-15,Shopping,Electronics,4170,Expense,Bank Transfer,Ellis-Mercer,New Lisa,No travel feeling most.,28775,88757
202,2025-05-22,Medical,Medicine,828,Expense,Debit Card,"Pittman, Davis and Gray",Brandonborough,Morning indeed room.,26224,38647
203,2025-03-28,Medical,Health Checkup,1377,Expense,Debit Card,Hughes Inc,Barronfurt,Necessary black last right.,32676,69546
204,2025-11-08,Income,Freelancing,5931,Income,Cash,Marshall PLC,Lake Josephtown,Heart shoulder need choice.,22777,14725
205,2026-04-17,Entertainment,Streaming,4927,Expense,UPI,Rodriguez LLC,Matthewfurt,Red image.,16257,67977
206,2025-10-11,Bills,Water,4053,Expense,Cash,Jones Inc,Cruzville,Easy doctor tell street.,5104,61712
207,2025-04-17,Bills,Water,3315,Expense,Cash,Gonzalez-Thompson,Port Mariachester,Light follow eight.,32263,55527
208,2025-04-03,Travel,Tour,2826,Expense,UPI,"Hale, Kim and Woods",North Michele,Can discussion lawyer state world.,38330,67356
209,2025-08-30,Travel,Hotel,2978,Expense,Bank Transfer,"Barker, Fisher and Middleton",Maciaschester,Yard another owner.,29754,54341
210,2026-02-24,Income,Freelancing,43557,Income,Bank Transfer,Boone-Morales,Harveyshire,Energy simple.,29415,77525
211,2025-07-15,Transport,Fuel,3941,Expense,UPI,"Clark, Johnson and Blankenship",Port Courtney,Deal instead area.,44079,41718
212,2025-11-28,Shopping,Electronics,1325,Expense,Bank Transfer,Watkins PLC,East Timothyville,None four guy whatever.,37075,52315
213,2025-01-05,Education,Stationery,1032,Expense,Credit Card,Craig and Sons,Marshville,Eye brother cold floor bad.,40396,77903
214,2026-04-04,Medical,Medicine,563,Expense,Bank Transfer,Hunt-Perez,Nancyville,Reflect least.,19570,90575
215,2025-12-23,Entertainment,Movies,1385,Expense,Cash,Evans LLC,Andersonberg,Somebody ten why thus.,48858,95284
216,2025-09-27,Travel,Hotel,3724,Expense,Credit Card,Hall Group,North Melissamouth,Activity community ready much bill.,35886,89265
217,2025-11-01,Income,Freelancing,21190,Income,Debit Card,Harris-Gonzalez,Johnburgh,Play vote boy main.,31499,64808
218,2025-11-08,Transport,Taxi,4116,Expense,Credit Card,Elliott-Bowers,Brendaville,Sport let finally.,33514,28371
219,2026-02-22,Food,Restaurant,786,Expense,Debit Card,Flowers-Greer,East Marystad,Bit cut.,26253,28244
220,2025-04-15,Food,Groceries,3634,Expense,Cash,Scott-Jackson,New Joshuabury,Tough to present include.,13268,36648
221,2025-07-17,Medical,Medicine,3033,Expense,UPI,"Hutchinson, Wagner and Martin",Mathewsbury,Laugh wear happen mouth.,19109,72693
222,2025-01-18,Transport,Fuel,4770,Expense,Cash,"Guerrero, Ryan and Andrews",Ericksonfort,Sure probably assume.,9375,64408
